FID_fishne,CPA_ID,area_km2,cap_MW,d_trans,d_sub,d_road,d_load_750,d_existing,d_EIA860fa,d_shore_m,m_seafloor,m_CF_MEAN,m_BOEM_lea,m_BOEM_pla,BathySlope,ocean_impa,HAPC_Area_,ocean_im_1,ocean_im_2,m_CF_wLoss,anngen_MWh,Shape_Leng,Shape_Area,major_port,turbine_ty,incap,ipm_region,prefSite,tech,metro_id,metro_region,cpa_mw,cf,path,resource_annuity,resource_fom,interconnect_annuity,lcoe,interconnect_capex_mw,total_interconnect_km,offshore_interconnect_km,ipm_region_y
32011,18954,16.0000002087,80.0,66.131827176,98.1200976132,51.7439864402,145.299895331,94.4719111622,94.7225116723,52.2559521535,-1204.79219055,0.528248650953,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.464859,370197.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.42807126,"[18954, 308844]",321525.88,67317.94,89240.69,127.492455,1842330.4,449.7997741699219,449.7997741699219,p10
32021,18958,5.02395334555,25.1198,41.5567066958,62.6734484748,32.4912222789,169.851872057,93.7850838651,67.2254743831,32.605451602,-952.25,0.482063569129,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.424216,106078.0,11478.1767394,5024191.12633,0,floating,40.1935290106227,WEC_CALN,1,offshorewind,31080,p10,40.193527,0.4022584,"[18958, 308844]",321525.88,67317.94,84749.85,134.3992,1749619.2,387.5774536132813,387.5774536132813,p10
32040,18960,16.0000002091,80.0,76.5631402243,101.841422443,53.8402881454,159.000487302,98.8659085959,99.0048013047,54.4445268176,-1149.61406326,0.522152649239,0.0,1.0,0.0,1.0,12500000.0,23.4375,24.4375,0.459494,365925.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.42718315,"[18960, 308844]",321525.88,67317.94,87677.63,127.33981,1810061.9,428.1429443359375,428.1429443359375,p10
32049,18962,16.0000002091,80.0,77.7813371613,100.055732819,52.9743736702,155.688680638,96.9549489912,97.2053425253,53.2437118047,-1228.99219131,0.523367810994,0.0,1.0,0.0,1.0,8500000.0,15.9375,16.9375,0.460564,366776.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.42817116,"[18962, 308844]",321525.88,67317.94,87966.33,127.122955,1816021.9,432.1429443359375,432.1429443359375,p10
32073,18965,16.0000002117,80.0,41.5088164249,65.8537843432,29.7645630785,162.324610193,87.3790968147,67.6675216822,30.3278342479,-898.625,0.482645118143,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.424728,338238.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.4032375,"[18965, 308844]",321525.88,67317.94,85277.484,134.22223,1760512.1,394.8880920410156,394.8880920410156,p10
32081,18968,16.0000002095,80.0,69.6991658386,92.8058952627,56.3204145173,170.528767831,104.484851344,95.0747388272,56.8007290158,-1164.60468292,0.51644344721,0.0,1.0,0.0,1.0,14000000.0,26.25,27.25,0.45447,361924.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.42422432,"[18968, 308844]",321525.88,67317.94,86403.27,127.885056,1783753.2,410.486083984375,410.486083984375,p10
32093,18971,16.0000002121,80.0,37.4816055,60.4303166326,27.1925477324,164.771404435,88.2138456531,64.4925888782,27.424236503,-871.695313454,0.476960550528,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.419725,334254.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.4022318,"[18971, 308844]",321525.88,67317.94,84869.21,134.44194,1752083.4,389.2312622070313,389.2312622070313,p10
32094,18972,12.2782979264,61.3915,45.4816055,67.7385528506,34.7043967924,167.479317517,92.999954418,72.3126708608,35.0828199632,-995.291665395,0.488902134821,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.430234,262926.0,14675.4742511,12278741.5538,0,floating,98.22993243046594,WEC_CALN,1,offshorewind,31080,p10,98.229935,0.41126475,"[18972, 308844]",321525.88,67317.94,85126.42,131.56049,1757393.4,392.7949523925781,392.7949523925781,p10
32097,18973,16.0000002094,80.0,71.6522129972,98.1018331017,51.2018065173,160.204530546,97.5106603549,94.8647266,51.8384815435,-1006.4109354,0.518569085747,0.0,1.0,0.0,1.0,16000000.0,30.0,31.0,0.456341,363413.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.4272152,"[18973, 308844]",321525.88,67317.94,87269.35,127.221176,1801633.1,422.486083984375,422.486083984375,p10
32109,18975,16.0000002101,80.0,63.9244392967,91.2151183276,43.7678221641,156.14667954,90.883341385,86.8657979457,44.3254659889,-1019.046875,0.512828749605,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.451289,359390.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.42724857,"[18975, 308844]",321525.88,67317.94,87030.19,127.14733,1796695.6,419.17236328125,419.17236328125,p10
